;Q1;Q2;Q3;Q4;Q5;C1;S1;C2;S2;C3;S3;C4;S4;C5;S5;CTotal;STotal;V1;V2;V3;V4;V5;VTotal;PTotal
38;14483;8903;303;7881;3345;36207.5;1448.3000000000002;13354.5;1780.6000000000001;17061.93;90.89999999999999;40350.72;3152.4;12911.699999999999;1672.5;119886.34999999999;8144.700000000001;80525.48;29290.87;20876.7;56743.200000000004;21608.7;209044.95;89158.60000000002
39;18030;1489;98;2801;13434;45075.0;1803.0;2233.5;297.8;5518.38;29.4;14341.12;1120.4;51855.24;6717.0;119023.23999999999;9967.6;100246.79999999999;4898.81;6752.200000000001;20167.2;86783.64;218848.64999999997;99825.40999999997
40;14761;1090;105;5917;10417;36902.5;1476.1000000000001;1635.0;218.0;5912.55;31.5;30295.04;2366.8;40209.619999999995;5208.5;114954.70999999999;9300.900000000001;82071.15999999999;3586.1;7234.500000000001;42602.4;67293.81999999999;202787.97999999998;87833.26999999999
41;19866;5281;427;4962;2409;49665.0;1986.6000000000001;7921.5;1056.2;24044.370000000003;128.1;25405.440000000002;1984.8000000000002;9298.74;1204.5;116335.05;6360.200000000001;110454.95999999999;17374.49;29420.300000000003;35726.4;15562.14;208538.28999999998;92203.23999999998
42;8561;8396;24;10668;7637;21402.5;856.1;12594.0;1679.2;1351.44;7.199999999999999;54620.16;4267.2;29478.82;3818.5;119446.92000000001;10628.2;47599.159999999996;27622.84;1653.6000000000001;76809.6;49335.02;203020.22;83573.29999999999
43;3349;9919;1422;2303;1127;8372.5;334.90000000000003;14878.5;1983.8000000000002;80072.82;426.59999999999997;11791.36;921.2;4350.22;563.5;119465.40000000001;4230.0;18620.44;32633.510000000002;97975.8;16581.600000000002;7280.42;173091.77000000002;53626.37000000001
44;15346;18862;351;2332;4497;38365.0;1534.6000000000001;28293.0;3772.4;19764.81;105.3;11939.84;932.8000000000001;17358.42;2248.5;115721.06999999999;8593.6;85323.76;62055.98;24183.9;16790.4;29050.62;217404.65999999997;101683.58999999998
45;10137;12298;998;2355;595;25342.5;1013.7;18447.0;2459.6000000000004;56197.380000000005;299.4;12057.6;942.0;2296.7;297.5;114341.18000000001;5012.200000000001;56361.719999999994;40460.42;68762.20000000001;16956.0;3843.7;186384.04;72042.86
46;14362;11314;612;1676;6018;35905.0;1436.2;16971.0;2262.8;34461.72;183.6;8581.12;670.4000000000001;23229.48;3009.0;119148.31999999999;7562.0;79852.72;37223.06;42166.8;12067.2;38876.28;210186.06000000003;91037.74000000003
47;2873;660;1522;345;6252;7182.5;287.3;990.0;132.0;85703.82;456.59999999999997;1766.4;138.0;24132.719999999998;3126.0;119775.44;4139.9;15973.88;2171.4;104865.8;2484.0;40387.92;165883.0;46107.56
