;Q1;Q2;Q3;Q4;Q5;C1;S1;C2;S2;C3;S3;C4;S4;C5;S5;CTotal;STotal;V1;V2;V3;V4;V5;VTotal;PTotal
0;1178;7144;697;2222;13787;2945.0;117.80000000000001;10716.0;1428.8000000000002;39248.07;209.1;11376.64;888.8000000000001;53217.82;6893.5;117503.53;9538.0;6549.679999999999;23503.760000000002;48023.3;15998.4;89064.02;183139.16;65635.63
1;17013;6649;253;2823;9097;42532.5;1701.3000000000002;9973.5;1329.8000000000002;14246.43;75.89999999999999;14453.76;1129.2;35114.42;4548.5;116320.60999999999;8784.7;94592.28;21875.21;17431.7;20325.600000000002;58766.62;212991.41;96670.80000000002
2;5941;15567;76;13516;1837;14852.5;594.1;23350.5;3113.4;4279.56;22.8;69201.92;5406.400000000001;7090.82;918.5;118775.29999999999;10055.2;33031.96;51215.43;5236.400000000001;97315.2;11867.02;198666.00999999998;79890.70999999999
3;4727;18658;367;1638;12827;11817.5;472.70000000000005;27987.0;3731.6000000000004;20665.77;110.1;8386.56;655.2;49512.22;6413.5;118369.05;11383.1;26282.12;61384.82;25286.300000000003;11793.6;82862.42;207609.26;89240.21
4;707;3428;579;2641;17227;1767.5;70.7;5142.0;685.6;32603.49;173.7;13521.92;1056.4;66496.22;8613.5;119531.13;10599.9;3930.9199999999996;11278.12;39893.100000000006;19015.2;111286.42;185403.76;65872.63
5;7697;405;541;6841;7523;19242.5;769.7;607.5;81.0;30463.710000000003;162.29999999999998;35025.92;2736.4;29038.78;3761.5;114378.41;7510.9;42795.32;1332.45;37274.9;49255.200000000004;48598.58;179256.45;64878.04000000001
6;20420;12062;42;333;11887;51050.0;2042.0;18093.0;2412.4;2365.02;12.6;1704.96;133.20000000000002;45883.82;5943.5;119096.80000000002;10543.7;113535.2;39683.98;2893.8;2397.6;76790.02;235300.59999999998;116203.79999999996
7;4255;32476;487;4204;2348;10637.5;425.5;48714.0;6495.200000000001;27422.97;146.1;21524.48;1681.6000000000001;9063.279999999999;1174.0;117362.23;9922.400000000001;23657.8;106846.04000000001;33554.3;30268.8;15168.08;209495.02;92132.79
8;2018;18253;318;4400;11835;5045.0;201.8;27379.5;3650.6000000000004;17906.58;95.39999999999999;22528.0;1760.0;45683.1;5917.5;118542.18;11625.300000000001;11220.08;60052.37;21910.2;31680.0;76454.1;201316.75;82774.57
9;6060;22834;305;601;12038;15150.0;606.0;34251.0;4566.8;17174.55;91.5;3077.12;240.4;46466.68;6019.0;116119.35;11523.7;33693.6;75123.86;21014.5;4327.2;77765.48;211924.64;95805.29000000001
10;454;8624;734;3936;11545;1135.0;45.400000000000006;12936.0;1724.8000000000002;41331.54;220.2;20152.32;1574.4;44563.7;5772.5;120118.56;9337.3;2524.24;28372.96;50572.600000000006;28339.2;74580.7;184389.7;64271.140000000014
11;12939;5566;303;5465;8621;32347.5;1293.9;8349.0;1113.2;17061.93;90.89999999999999;27980.8;2186.0;33277.06;4310.5;119016.29;8994.5;71940.84;18312.14;20876.7;39348.0;55691.659999999996;206169.34;87153.05
12;5779;14563;433;738;14271;14447.5;577.9;21844.5;2912.6000000000004;24382.23;129.9;3778.56;295.2;55086.06;7135.5;119538.84999999999;11051.1;32131.239999999998;47912.270000000004;29833.7;5313.6;92190.66;207381.47000000003;87842.62000000004
13;8196;1336;345;1501;17263;20490.0;819.6;2004.0;267.2;19426.95;103.5;7685.12;600.4;66635.18;8631.5;116241.25;10422.2;45569.759999999995;4395.44;23770.500000000004;10807.2;111518.98;196061.88;79820.63
14;11217;3520;838;6130;1544;28042.5;1121.7;5280.0;704.0;47187.78;251.39999999999998;31385.600000000002;2452.0;5959.84;772.0;117855.72;5301.1;62366.52;11580.8;57738.200000000004;44136.0;9974.24;185795.75999999998;67940.03999999998
15;8178;8560;469;988;13121;20445.0;817.8000000000001;12840.0;1712.0;26409.39;140.7;5058.56;395.20000000000005;50647.06;6560.5;115400.01;9626.2;45469.68;28162.4;32314.100000000002;7113.6;84761.66;197821.44;82421.43000000001
16;5230;13722;137;7425;9034;13075.0;523.0;20583.0;2744.4;7714.47;41.1;38016.0;2970.0;34871.24;4517.0;114259.70999999999;10795.5;29078.8;45145.38;9439.300000000001;53460.0;58359.64;195483.12;81223.41
17;16760;11003;129;4004;8413;41900.0;1676.0;16504.5;2200.6;7263.990000000001;38.699999999999996;20500.48;1601.6000000000001;32474.18;4206.5;118643.15;9723.4;93185.59999999999;36199.87;8888.1;28828.8;54347.98;221450.35;102807.20000000001
