,Q1,Q2,Q3,Q4,Q5,C1,S1,C2,S2,C3,S3,C4,S4,C5,S5,CTotal,STotal,V1,V2,V3,V4,V5,VTotal,PTotal
25,1990,3977,696,8252,6694,4975.0,199.0,5965.5,795.4,39191.76,208.8,42250.24,3300.8,25838.84,3347.0,118221.34,7851.0,11064.4,13084.33,47954.4,59414.4,43243.24,174760.77,56539.43
26,12800,1872,116,1884,17299,32000.0,1280.0,2808.0,374.4,6531.96,34.8,9646.08,753.6,66774.14,8649.5,117760.18,11092.3,71168.0,6158.88,7992.4,13564.8,111751.54,210635.62,92875.44
27,10852,7774,1060,1042,4095,27130.0,1085.2,11661.0,1554.8,59688.6,318.0,5335.04,416.8,15806.7,2047.5,119621.34,5422.3,60337.12,25576.46,73034.0,7502.4,26453.7,192903.68,73282.34
28,18608,15319,144,6417,1524,46520.0,1860.8,22978.5,3063.8,8108.64,43.2,32855.04,2566.8,5882.64,762.0,116344.82,8296.6,103460.48,50399.51,9921.6,46202.4,9845.04,219829.03,103484.21
29,11394,4462,315,249,17052,28485.0,1139.4,6693.0,892.4,17737.65,94.5,1274.88,99.6,65820.72,8526.0,120011.25,10751.9,63350.64,14679.98,21703.5,1792.8,110155.92,211682.84,91671.59
30,6819,4663,714,2074,10978,17047.5,681.9,6994.5,932.6,40205.34,214.2,10618.88,829.6,42375.08,5489.0,117241.3,8147.3,37913.64,15341.27,49194.6,14932.8,70917.88,188300.19,71058.89
31,8600,4446,319,5779,10343,21500.0,860.0,6669.0,889.2,17962.89,95.7,29588.48,2311.6,39923.98,5171.5,115644.35,9328.0,47816.0,14627.34,21979.1,41608.8,66815.78,192847.02,77202.67
32,6382,10223,182,11166,4115,15955.0,638.2,15334.5,2044.6,10248.42,54.6,57169.92,4466.4,15883.9,2057.5,114591.74,9261.3,35483.92,33633.67,12539.8,80395.2,26582.9,188635.49,74043.75
33,4900,9919,299,6944,10194,12250.0,490.0,14878.5,1983.8,16836.69,89.7,35553.28,2777.6,39348.84,5097.0,118867.31,10438.1,27244.0,32633.51,20601.1,49996.8,65853.24,196328.65,77461.34
34,14055,16426,490,2087,4547,35137.5,1405.5,24639.0,3285.2,27591.9,147.0,10685.44,834.8,17551.42,2273.5,115605.26,7946.0,78145.8,54041.54,33761.0,15026.4,29373.62,210348.36,94743.1
35,1621,2038,801,234,16947,4052.5,162.1,3057.0,407.6,45104.31,240.3,1198.08,93.6,65415.42,8473.5,118827.31,9377.1,9012.76,6705.02,55188.9,1684.8,109477.62,182069.1,63241.79
36,18458,5042,268,8178,1793,46145.0,1845.8,7563.0,1008.4,15091.08,80.4,41871.36,3271.2,6920.98,896.5,117591.42,7102.3,102626.48,16588.18,18465.2,58881.6,11582.78,208144.24,90552.82
37,8864,14144,0,12196,3298,22160.0,886.4,21216.0,2828.8,0.0,0.0,62443.52,4878.4,12730.28,1649.0,118549.8,10242.6,49283.84,46533.76,0.0,87811.2,21305.08,204933.88,86384.08
38,11872,14535,671,2734,4174,29680.0,1187.2,21802.5,2907.0,37784.01,201.3,13998.08,1093.6,16111.64,2087.0,119376.23,7476.1,66008.32,47820.15,46231.9,19684.8,26964.04,206709.21,87332.98
39,12912,533,209,1643,16805,32280.0,1291.2,799.5,106.6,11768.79,62.7,8412.16,657.2,64867.3,8402.5,118127.75,10520.2,71790.72,1753.57,14400.1,11829.6,108560.3,208334.29,90206.54
40,14455,6589,646,4194,3811,36137.5,1445.5,9883.5,1317.8,36376.26,193.8,21473.28,1677.6,14710.46,1905.5,118581.0,6540.2,80369.8,21677.81,44509.4,30196.8,24619.06,201372.87,82791.87
41,4632,12018,414,877,16179,11580.0,463.2,18027.0,2403.6,23312.34,124.2,4490.24,350.8,62450.94,8089.5,119860.52,11431.3,25753.92,39539.22,28524.6,6314.4,104516.34,204648.48,84787.96
42,3956,449,595,7730,8474,9890.0,395.6,673.5,89.8,33504.45,178.5,39577.6,3092.0,32709.64,4237.0,116355.19,7992.9,21995.36,1477.21,40995.5,55656.0,54742.04,174866.11,58510.92
43,5479,10929,125,6146,13239,13697.5,547.9,16393.5,2185.8,7038.75,37.5,31467.52,2458.4,51102.54,6619.5,119699.81,11849.1,30463.24,35956.41,8612.5,44251.2,85523.94,204807.29,85107.48
44,5053,651,1220,5229,1482,12632.5,505.3,976.5,130.2,68698.2,366.0,26772.48,2091.6,5720.52,741.0,114800.2,3834.1,28094.68,2141.79,84058.0,37648.8,9573.72,161516.99,46716.79
45,10813,7881,690,2654,6071,27032.5,1081.3,11821.5,1576.2,38853.9,207.0,13588.48,1061.6,23434.06,3035.5,114730.44,6961.6,60120.28,25928.49,47541.0,19108.8,39218.66,191917.23,77186.79
46,3720,6286,599,12624,19,9300.0,372.0,9429.0,1257.2,33729.69,179.7,64634.88,5049.6,73.34,9.5,117166.91,6868.0,20683.2,20680.94,41271.1,90892.8,122.74,173650.78,56483.87
47,8192,3847,679,1028,12276,20480.0,819.2,5770.5,769.4,38234.49,203.7,5263.36,411.2,47385.36,6138.0,117133.71,8341.5,45547.52,12656.63,46783.1,7401.6,79302.96,191691.81,74558.1
48,10416,953,633,9889,463,26040.0,1041.6,1429.5,190.6,35644.23,189.9,50631.68,3955.6,1787.18,231.5,115532.59,5609.2,57912.96,3135.37,43613.7,71200.8,2990.98,178853.81,63321.22
49,6401,7232,69,10802,8445,16002.5,640.1,10848.0,1446.4,3885.39,20.7,55306.24,4320.8,32597.7,4222.5,118639.83,10650.5,35589.56,23793.28,4754.1,77774.4,54554.7,196466.04,77826.21
50,3098,4854,1153,466,9575,7745.0,309.8,7281.0,970.8,64925.43,345.9,2385.92,186.4,36959.5,4787.5,119296.85,6600.4,17224.88,15969.66,79441.7,3355.2,61854.5,177845.94,58549.09
51,13657,3931,1021,2538,1796,34142.5,1365.7,5896.5,786.2,57492.51,306.3,12994.56,1015.2,6932.56,898.0,117458.63,4371.4,75932.92,12932.99,70346.9,18273.6,11602.16,189088.57,71629.94
52,17160,359,638,7760,49,42900.0,1716.0,538.5,71.8,35925.78,191.4,39731.2,3104.0,189.14,24.5,119284.62,5107.7,95409.6,1181.11,43958.2,55872.0,316.54,196737.45,77452.83
53,3691,4094,927,1280,10425,9227.5,369.1,6141.0,818.8,52199.37,278.1,6553.6,512.0,40240.5,5212.5,114361.97,7190.5,20521.96,13469.26,63870.3,9216.0,67345.5,174423.02,60061.05
54,4139,5351,1145,3393,4135,10347.5,413.9,8026.5,1070.2,64474.95,343.5,17372.16,1357.2,15961.1,2067.5,116182.21,5252.3,23012.84,17604.79,78890.5,24429.6,26712.1,170649.83,54467.62
55,11153,16549,475,3167,5599,27882.5,1115.3,24823.5,3309.8,26747.25,142.5,16215.04,1266.8,21612.14,2799.5,117280.43,8633.9,62010.68,54446.21,32727.5,22802.4,36169.54,208156.33,90875.9
56,2210,2449,147,8315,15470,5525.0,221.0,3673.5,489.8,8277.57,44.1,42572.8,3326.0,59714.2,7735.0,119763.07,11815.9,12287.6,8057.21,10128.3,59868.0,99936.2,190277.31,70514.24
57,8359,11472,452,2671,9882,20897.5,835.9,17208.0,2294.4,25452.12,135.6,13675.52,1068.4,38144.52,4941.0,115377.66,9275.3,46476.04,37742.88,31142.8,19231.2,63837.72,198430.64,83052.98
58,6376,1397,443,5891,12062,15940.0,637.6,2095.5,279.4,24945.33,132.9,30161.92,2356.4,46559.32,6031.0,119702.07,9437.3,35450.56,4596.13,30522.7,42415.2,77920.52,190905.11,71203.04
59,4558,610,517,14339,368,11395.0,455.8,915.0,122.0,29112.27,155.1,73415.68,5735.6,1420.48,184.0,116258.43,6652.5,25342.48,2006.9,35621.3,103240.8,2377.28,168588.76,52330.33
60,1300,12791,250,11774,6005,3250.0,130.0,19186.5,2558.2,14077.5,75.0,60282.88,4709.6,23179.3,3002.5,119976.18,10475.3,7228.0,42082.39,17225.0,84772.8,38792.3,190100.49,70124.31
61,2824,19681,1082,1079,3817,7060.0,282.4,29521.5,3936.2,60927.42,324.6,5524.48,431.6,14733.62,1908.5,117767.02,6883.3,15701.44,64750.49,74549.8,7768.8,24657.82,187428.35,69661.33
62,14261,11661,417,6563,1251,35652.5,1426.1,17491.5,2332.2,23481.27,125.1,33602.56,2625.2,4828.86,625.5,115056.69,7134.1,79291.16,38364.69,28731.3,47253.6,8081.46,201722.21,86665.52
63,10750,8789,700,491,9196,26875.0,1075.0,13183.5,1757.8,39417.0,210.0,2513.92,196.4,35496.56,4598.0,117485.98,7837.2,59770.0,28915.81,48230.0,3535.2,59406.16,199857.17,82371.19
64,10872,15926,16,10683,3135,27180.0,1087.2,23889.0,3185.2,900.96,4.8,54696.96,4273.2,12101.1,1567.5,118768.02,10117.9,60448.32,52396.54,1102.4,76917.6,20252.1,211116.96,92348.94
65,4470,14048,533,4049,9352,11175.0,447.0,21072.0,2809.6,30013.23,159.9,20730.88,1619.6,36098.72,4676.0,119089.83,9712.1,24853.2,46217.92,36723.7,29152.8,60413.92,197361.54,78271.71
66,2907,16548,193,4741,12880,7267.5,290.7,24822.0,3309.6,10867.83,57.9,24273.92,1896.4,49716.8,6440.0,116948.05,11994.6,16162.92,54442.92,13297.7,34135.2,83204.8,201243.54,84295.49
67,208,17624,171,15345,290,520.0,20.8,26436.0,3524.8,9629.01,51.3,78566.4,6138.0,1119.4,145.0,116270.81,9879.9,1156.48,57982.96,11781.9,110484.0,1873.4,183278.74,67007.93
68,5467,51,656,7420,7434,13667.5,546.7,76.5,10.2,36939.36,196.8,37990.4,2968.0,28695.24,3717.0,117369.0,7438.7,30396.52,167.79,45198.4,53424.0,48023.64,177210.35,59841.35
69,13907,6276,124,6249,8617,34767.5,1390.7,9414.0,1255.2,6982.44,37.2,31994.88,2499.6,33261.62,4308.5,116420.44,9491.2,77322.92,20648.04,8543.6,44992.8,55665.82,207173.18,90752.74
70,13547,2393,49,11694,3892,33867.5,1354.7,3589.5,478.6,2759.19,14.7,59873.28,4677.6,15023.12,1946.0,115112.59,8471.6,75321.32,7872.97,3376.1,84196.8,25142.32,195909.51,80796.92
71,6737,5595,777,4182,7400,16842.5,673.7,8392.5,1119.0,43752.87,233.1,21411.84,1672.8,28564.0,3700.0,118963.71,7398.6,37457.72,18407.55,53535.3,30110.4,47804.0,187314.97,68351.26
72,7866,9764,670,6398,3880,19665.0,786.6,14646.0,1952.8,37727.7,201.0,32757.76,2559.2,14976.8,1940.0,119773.26,7439.6,43734.96,32123.56,46163.0,46065.6,25064.8,193151.92,73378.66
73,3935,12516,130,11005,7100,9837.5,393.5,18774.0,2503.2,7320.3,39.0,56345.6,4402.0,27406.0,3550.0,119683.4,10887.7,21878.6,41177.64,8957.0,79236.0,45866.0,197115.24,77431.84
74,2321,1143,1546,2110,2384,5802.5,232.1,1714.5,228.6,87055.26,463.8,10803.2,844.0,9202.24,1192.0,114577.7,2960.5,12904.76,3760.47,106519.4,15192.0,15400.64,153777.27,39199.57
75,9966,6212,347,2210,13475,24915.0,996.6,9318.0,1242.4,19539.57,104.1,11315.2,884.0,52013.5,6737.5,117101.27,9964.6,55410.96,20437.48,23908.3,15912.0,87048.5,202717.24,85615.97
76,16040,8025,234,3973,8141,40100.0,1604.0,12037.5,1605.0,13176.54,70.2,20341.76,1589.2,31424.26,4070.5,117080.06,8938.9,89182.4,26402.25,16122.6,28605.6,52590.86,212903.71,95823.65
77,410,16174,413,683,16426,1025.0,41.0,24261.0,3234.8,23256.03,123.9,3496.96,273.2,63404.36,8213.0,115443.35,11885.9,2279.6,53212.46,28455.7,4917.6,106111.96,194977.32,79533.97
78,14440,1590,54,4652,13854,36100.0,1444.0,2385.0,318.0,3040.74,16.2,23818.24,1860.8,53476.44,6927.0,118820.42,10566.0,80286.4,5231.1,3720.6,33494.4,89496.84,212229.34,93408.92
79,7795,15830,365,6638,5664,19487.5,779.5,23745.0,3166.0,20553.15,109.5,33986.56,2655.2,21863.04,2832.0,119635.25,9542.2,43340.2,52080.7,25148.5,47793.6,36589.44,204952.44,85317.19
80,5304,17954,673,6035,2354,13260.0,530.4,26931.0,3590.8,37896.63,201.9,30899.2,2414.0,9086.44,1177.0,118073.27,7914.1,29490.24,59068.66,46369.7,43452.0,15206.84,193587.44,75514.17
81,5633,8751,710,5269,5331,14082.5,563.3,13126.5,1750.2,39980.1,213.0,26977.28,2107.6,20577.66,2665.5,114744.04,7299.6,31319.48,28790.79,48919.0,37936.8,34438.26,181404.33,66660.29
82,5044,11581,320,10571,3730,12610.0,504.4,17371.5,2316.2,18019.2,96.0,54123.52,4228.4,14397.8,1865.0,116522.02,9010.0,28044.64,38101.49,22048.0,76111.2,24095.8,188401.13,71879.11
83,1512,10139,435,6913,9821,3780.0,151.2,15208.5,2027.8,24494.85,130.5,35394.56,2765.2,37909.06,4910.5,116786.97,9985.2,8406.72,33357.31,29971.5,49773.6,63443.66,184952.79,68165.82
84,18824,10344,271,1585,7743,47060.0,1882.4,15516.0,2068.8,15260.01,81.3,8115.2,634.0,29887.98,3871.5,115839.19,8538.0,104661.44,34031.76,18671.9,11412.0,50019.78,218796.88,102957.69
85,6561,3398,451,1974,15018,16402.5,656.1,5097.0,679.6,25395.81,135.3,10106.88,789.6,57969.48,7509.0,114971.67,9769.6,36479.16,11179.42,31073.9,14212.8,97016.28,189961.56,74989.89
86,6583,6176,583,4493,9988,16457.5,658.3,9264.0,1235.2,32828.73,174.9,23004.16,1797.2,38553.68,4994.0,120108.07,8859.6,36601.48,20319.04,40168.7,32349.6,64522.48,193961.3,73853.23
87,10401,9323,661,3012,6215,26002.5,1040.1,13984.5,1864.6,37220.91,198.3,15421.44,1204.8,23989.9,3107.5,116619.25,7415.3,57829.56,30672.67,45542.9,21686.4,40148.9,195880.43,79261.18
88,17079,2050,727,661,7142,42697.5,1707.9,3075.0,410.0,40937.37,218.1,3384.32,264.4,27568.12,3571.0,117662.31,6171.4,94959.24,6744.5,50090.3,4759.2,46137.32,202690.56,85028.25
89,1399,10136,375,3263,15080,3497.5,139.9,15204.0,2027.2,21116.25,112.5,16706.56,1305.2,58208.8,7540.0,114733.11,11124.8,7778.44,33347.44,25837.5,23493.6,97416.8,187873.78,73140.67
90,16345,2391,1276,381,199,40862.5,1634.5,3586.5,478.2,71851.56,382.8,1950.72,152.4,768.14,99.5,119019.42,2747.4,90878.2,7866.39,87916.4,2743.2,1285.54,190689.73,71670.31
91,4322,11123,1206,2539,2466,10805.0,432.2,16684.5,2224.6,67909.86,361.8,12999.68,1015.6,9518.76,1233.0,117917.8,5267.2,24030.32,36594.67,83093.4,18280.8,15930.36,177929.55,60011.75
92,7113,19697,224,3583,10037,17782.5,711.3,29545.5,3939.4,12613.44,67.2,18344.96,1433.2,38742.82,5018.5,117029.22,11169.6,39548.28,64803.13,15433.6,25797.6,64839.02,210421.63,93392.41
93,570,10775,1155,1785,6873,1425.0,57.0,16162.5,2155.0,65038.05,346.5,9139.2,714.0,26529.78,3436.5,118294.53,6709.0,3169.2,35449.75,79579.5,12852.0,44399.58,175450.03,57155.5
94,5431,1768,444,11423,4254,13577.5,543.1,2652.0,353.6,25001.64,133.2,58485.76,4569.2,16420.44,2127.0,116137.34,7726.1,30196.36,5816.72,30591.6,82245.6,27480.84,176331.12,60193.78
95,17617,1336,274,5876,7042,44042.5,1761.7,2004.0,267.2,15428.94,82.2,30085.12,2350.4,27182.12,3521.0,118742.68,7982.5,97950.52,4395.44,18878.6,42307.2,45491.32,209023.08,90280.4
96,1818,16339,1096,2447,3450,4545.0,181.8,24508.5,3267.8,61715.76,328.8,12528.64,978.8,13317.0,1725.0,116614.9,6482.2,10108.08,53755.31,75514.4,17618.4,22287.0,179283.19,62668.29
97,10073,1186,470,180,15914,25182.5,1007.3,1779.0,237.2,26465.7,141.0,921.6,72.0,61428.04,7957.0,115776.84,9414.5,56005.88,3901.94,32383.0,1296.0,102804.44,196391.26,80614.42
98,2942,3709,110,10986,10382,7355.0,294.2,5563.5,741.8,6194.1,33.0,56248.32,4394.4,40074.52,5191.0,115435.44,10654.4,16357.52,12202.61,7579.0,79099.2,67067.72,182306.05,66870.61
99,10734,7518,579,1635,9476,26835.0,1073.4,11277.0,1503.6,32603.49,173.7,8371.2,654.0,36577.36,4738.0,115664.05,8142.7,59681.04,24734.22,39893.1,11772.0,61214.96,197295.32,81631.27
100,3067,16487,210,10955,4106,7667.5,306.7,24730.5,3297.4,11825.1,63.0,56089.6,4382.0,15849.16,2053.0,116161.86,10102.1,17052.52,54242.23,14469.0,78876.0,26524.76,191164.51,75002.65
101,8238,3320,410,10149,3961,20595.0,823.8,4980.0,664.0,23087.1,123.0,51962.88,4059.6,15289.46,1980.5,115914.44,7650.9,45803.28,10922.8,28249.0,73072.8,25588.06,183635.94,67721.5
102,16641,10192,540,2798,4449,41602.5,1664.1,15288.0,2038.4,30407.4,162.0,14325.76,1119.2,17173.14,2224.5,118796.8,7208.2,92523.96,33531.68,37206.0,20145.6,28740.54,212147.78,93350.98
103,4775,12676,1021,2501,4066,11937.5,477.5,19014.0,2535.2,57492.51,306.3,12805.12,1000.4,15694.76,2033.0,116943.89,6352.4,26549.0,41704.04,70346.9,18007.2,26266.36,182873.5,65929.61
104,11341,10910,237,8140,3996,28352.5,1134.1,16365.0,2182.0,13345.47,71.1,41676.8,3256.0,15424.56,1998.0,115164.33,8641.2,63055.96,35893.9,16329.3,58608.0,25814.16,199701.32,84536.99
105,10829,11543,436,9469,601,27072.5,1082.9,17314.5,2308.6,24551.16,130.8,48481.28,3787.6,2319.86,300.5,119739.3,7610.4,60209.24,37976.47,30040.4,68176.8,3882.46,200285.37,80546.07
106,6,3887,792,7780,7154,15.0,0.6,5830.5,777.4,44597.52,237.6,39833.6,3112.0,27614.44,3577.0,117891.06,7704.6,33.36,12788.23,54568.8,56016.0,46214.84,169621.23,51730.17
107,11745,18707,64,2643,10309,29362.5,1174.5,28060.5,3741.4,3603.84,19.2,13532.16,1057.2,39792.74,5154.5,114351.74,11146.8,65302.2,61546.03,4409.6,19029.6,66596.14,216883.57,102531.83
108,16397,3527,160,8558,3944,40992.5,1639.7,5290.5,705.4,9009.6,48.0,43816.96,3423.2,15223.84,1972.0,114333.4,7788.3,91167.32,11603.83,11024.0,61617.6,25478.24,200890.99,86557.59
109,13925,15883,664,1401,2929,34812.5,1392.5,23824.5,3176.6,37389.84,199.2,7173.12,560.4,11305.94,1464.5,114505.9,6793.2,77423.0,52255.07,45749.6,10087.2,18921.34,204436.21,89930.31
110,1170,19717,275,10969,3620,2925.0,117.0,29575.5,3943.4,15485.25,82.5,56161.28,4387.6,13973.2,1810.0,118120.23,10340.5,6505.2,64868.93,18947.5,78976.8,23385.2,192683.63,74563.4
111,12891,8614,897,2062,3365,32227.5,1289.1,12921.0,1722.8,50510.07,269.1,10557.44,824.8,12988.9,1682.5,119204.91,5788.3,71673.96,28340.06,61803.3,14846.4,21737.9,198401.62,79196.71
112,8642,9444,350,3112,11189,21605.0,864.2,14166.0,1888.8,19708.5,105.0,15933.44,1244.8,43189.54,5594.5,114602.48,9697.3,48049.52,31070.76,24115.0,22406.4,72280.94,197922.62,83320.14
113,483,2408,246,12483,9408,1207.5,48.3,3612.0,481.6,13852.26,73.8,63912.96,4993.2,36314.88,4704.0,118899.6,10300.9,2685.48,7922.32,16949.4,89877.6,60775.68,178210.48,59310.88
114,6453,9091,855,834,8406,16132.5,645.3,13636.5,1818.2,48145.05,256.5,4270.08,333.6,32447.16,4203.0,114631.29,7256.6,35878.68,29909.39,58909.5,6004.8,54302.76,185005.13,70373.84
115,7684,5435,635,3769,8854,19210.0,768.4,8152.5,1087.0,35756.85,190.5,19297.28,1507.6,34176.44,4427.0,116593.07,7980.5,42723.04,17881.15,43751.5,27136.8,57196.84,188689.33,72096.26
116,7142,9553,943,4996,1061,17855.0,714.2,14329.5,1910.6,53100.33,282.9,25579.52,1998.4,4095.46,530.5,114959.81,5436.6,39709.52,31429.37,64972.7,35971.2,6854.06,178936.85,63977.04
117,3437,15809,260,12003,1632,8592.5,343.7,23713.5,3161.8,14640.6,78.0,61455.36,4801.2,6299.52,816.0,114701.48,9200.7,19109.72,52011.61,17914.0,86421.6,10542.72,185999.65,71298.17
118,11519,1016,1179,2297,2770,28797.5,1151.9,1524.0,203.2,66389.49,353.7,11760.64,918.8,10692.2,1385.0,119163.83,4012.6,64045.64,3342.64,81233.1,16538.4,17894.2,183053.98,63890.15
119,14812,6348,452,7220,2078,37030.0,1481.2,9522.0,1269.6,25452.12,135.6,36966.4,2888.0,8021.08,1039.0,116991.6,6813.4,82354.72,20884.92,31142.8,51984.0,13423.88,199790.32,82798.72
120,7175,3026,560,12442,323,17937.5,717.5,4539.0,605.2,31533.6,168.0,63703.04,4976.8,1246.78,161.5,118959.92,6629.0,39893.0,9955.54,38584.0,89582.4,2086.58,180101.52,61141.6
121,503,1207,1133,5629,5032,1257.5,50.3,1810.5,241.4,63799.23,339.9,28820.48,2251.6,19423.52,2516.0,115111.23,5399.2,2796.68,3971.03,78063.7,40528.8,32506.72,157866.93,42755.7
122,14781,2967,851,420,6018,36952.5,1478.1,4450.5,593.4,47919.81,255.3,2150.4,168.0,23229.48,3009.0,114702.69,5503.8,82182.36,9761.43,58633.9,3024.0,38876.28,192477.97,77775.28
123,873,7503,116,10027,11982,2182.5,87.3,11254.5,1500.6,6531.96,34.8,51338.24,4010.8,46250.52,5991.0,117557.72,11624.5,4853.88,24684.87,7992.4,72194.4,77403.72,187129.27,69571.55
124,4374,18238,761,5257,2194,10935.0,437.4,27357.0,3647.6,42851.91,228.3,26915.84,2102.8,8468.84,1097.0,116528.59,7513.1,24319.44,60003.02,52432.9,37850.4,14173.24,188779.0,72250.41
125,6213,16259,653,6389,1454,15532.5,621.3,24388.5,3251.8,36770.43,195.9,32711.68,2555.6,5612.44,727.0,115015.55,7351.6,34544.28,53492.11,44991.7,46000.8,9392.84,188421.73,73406.18
126,19467,2654,179,5841,5621,48667.5,1946.7,3981.0,530.8,10079.49,53.7,29905.92,2336.4,21697.06,2810.5,114330.97,7678.1,108236.52,8731.66,12333.1,42055.2,36311.66,207668.14,93337.17
